id,name,description,price
1,Gaming Laptop,High-performance gaming laptop with RTX graphics,1299.99
2,Wireless Mouse,Ergonomic wireless mouse with precision tracking,29.99
3,Mechanical Keyboard,RGB backlit mechanical keyboard,89.99
4,USB Cable,Standard USB-C charging cable,12.50
5,External Monitor,27-inch 4K external monitor,399.99
6,Desk Lamp,LED desk lamp with adjustable brightness,35.00
7,Smartphone,Latest flagship smartphone with advanced camera,899.99
8,Bluetooth Headphones,Noise-cancelling wireless headphones,149.99
9,Power Bank,Portable 20000mAh power bank,45.99
10,Webcam,HD webcam for video conferencing,75.00
11,Office Chair,Ergonomic office chair with lumbar support,249.99
12,Notebook,Premium leather-bound notebook,18.99
13,Tablet,10-inch tablet with stylus support,329.99
14,Wireless Charger,Fast wireless charging pad,39.99
15,Coffee Mug,Insulated stainless steel coffee mug,24.99